university,database_name,guide_url,,,,
UConn,Colonial Connecticut Records (1636-1776),https://guides.lib.uconn.edu/colonialct,,,,
UConn,Colonial State Papers,https://guides.lib.uconn.edu/colonialstate,,,,
UConn,Columbia International Affairs Online (CIAO),https://guides.lib.uconn.edu/CIAO,,,,
UConn,Communication & Mass Media Complete,https://guides.lib.uconn.edu/CommMAssComplete,,,,
UConn,Compendex,https://guides.lib.uconn.edu/compendex,,,,
UConn,Computer Source,https://guides.lib.uconn.edu/ComputerSource,,,,
UConn,Congress.gov,https://guides.lib.uconn.edu/CongressGov,,,,
UConn,Connecticut Artists Project,https://guides.lib.uconn.edu/ctartists,,,,
UConn,Connecticut Digital Archive,https://guides.lib.uconn.edu/ctda,,,,
UConn,ConsumerLab.com,https://guides.lib.uconn.edu/consumerlab,,,,
UConn,CQ Congress Collection,https://guides.lib.uconn.edu/CQonCollection,,,,
UConn,CQ Electronic Library,https://guides.lib.uconn.edu/CQleLibrary,,,,
UConn,CQ Researcher,https://guides.lib.uconn.edu/CQResearcher,,,,
UConn,CRC Handbook of Chemistry and Physics,https://guides.lib.uconn.edu/CRCHandbookChemandPhys,,,,
UConn,Current Index to Statistics,https://guides.lib.uconn.edu/CIS,,,,
UConn,"Daily Mail, 1896-2016",https://guides.lib.uconn.edu/DailyMail,,,,
UConn,Decolonization: Politics and Independence in Former Colonial and Commonwealth Terrioties,https://guides.lib.uconn.edu/decolonization,,,,
UConn,Defining Gender,https://guides.lib.uconn.edu/DefiningGender,,,,
UConn,Dictionary of American Regional English,https://guides.lib.uconn.edu/DicAmRegEnglish,,,,
UConn,Dictionary of Irish Biography,https://guides.lib.uconn.edu/CDictIrishBio,,,,
UConn,Dictionary of Literary Biography,https://guides.lib.uconn.edu/dlb,,,,
UConn,Dictionary of Medieval Latin from British Sources Online,https://guides.lib.uconn.edu/DictionaryMedievalLatin,,,,
UConn,Dictionary of Old English Web Corpus,https://guides.lib.uconn.edu/DictOldEngWebCorpus,,,,
UConn,Digital Commons @ UConn,https://guides.lib.uconn.edu/opencommonsuconn,,,,
UConn,Digital National Security Archive,https://guides.lib.uconn.edu/DNSALAC,,,,
UConn,Digitalia Hispanica,https://guides.lib.uconn.edu/spanishdigitalia,,,,
UConn,Disability in the Modern World,https://guides.lib.uconn.edu/disabilitymodworld,,,,
UConn,DiscoverGov,https://guides.lib.uconn.edu/DiscoverGov,,,,
UConn,DOAJ: Directory of Open Access Journals,https://guides.lib.uconn.edu/DOAJ,,,,
UConn,Documenta Catholica Omnia,https://guides.lib.uconn.edu/dco,,,,
UConn,Docuseek2 Complete Collection,https://guides.lib.uconn.edu/Docuseek,,,,
UConn,DynaMed,https://guides.lib.uconn.edu/DynaMedplus,,,,
UConn,E&E News,https://guides.lib.uconn.edu/EandE,,,,
UConn,"Early American Imprints, Series I: Evans",https://guides.lib.uconn.edu/evans,,,,
UConn,"Early American Imprints, Series II: Shaw-Shoemaker",https://guides.lib.uconn.edu/shaw,,,,
UConn,Early American Newspapers (1690-1922),https://guides.lib.uconn.edu/earlyamericannews,,,,
UConn,Early Arabic Printed Books from the British Library,https://guides.lib.uconn.edu/earlyarabicbooks,,,,
UConn,Early English Books Online (Proquest),https://guides.lib.uconn.edu/EarlyEnglish,,,,
UConn,Early English Books Online (Univ. of Michigan),https://guides.lib.uconn.edu/eebomich,,,,
UConn,Early European Books,https://guides.lib.uconn.edu/EarlyEuropeanBooks,,,,
UConn,"Earth, Atmospheric & Aquatic Science Collection",https://guides.lib.uconn.edu/earthatmosphericaquatic,,,,
UConn,EconLit,https://guides.lib.uconn.edu/EconLit,,,,
UConn,ECRI Guidelines Trust,https://guides.lib.uconn.edu/ecri,,,,
UConn,EDGAR (SEC Filings & Forms),https://guides.lib.uconn.edu/EDGAR,,,,
UConn,Education Databases Cluster,https://guides.lib.uconn.edu/educluster,,,,
UConn,Education Research Index,https://guides.lib.uconn.edu/ERI,,,,
UConn,Eighteenth Century Collections Online,https://guides.lib.uconn.edu/ecconline,,,,
UConn,Elgar Online,https://guides.lib.uconn.edu/elgar,,,,
UConn,Embase,https://guides.lib.uconn.edu/embase,,,,
UConn,Encyclopaedia Judaica,https://guides.lib.uconn.edu/encyclopediajudaica,,,,
UConn,Encyclopedia of Education,https://guides.lib.uconn.edu/EncyEducation,,,,
UConn,Encyclopedia of Human Rights,https://guides.lib.uconn.edu/EncyHumanRights,,,,
UConn,Encyclopedia of the Bible and Its Reception,https://guides.lib.uconn.edu/encyclopediabible,,,,
UConn,Engineering Village,https://guides.lib.uconn.edu/EngineeringVillage,,,,
UConn,English Drama,https://guides.lib.uconn.edu/englishdrama,,,,
UConn,Environmental Issues Online,https://guides.lib.uconn.edu/environmentissues,,,,
UConn,ERIC (EBSCO),https://guides.lib.uconn.edu/ERIC_EBSCO,,,,
UConn,ERIC (Institute of Education Science),https://guides.lib.uconn.edu/ERICfree,,,,
UConn,ERIC (ProQuest),https://guides.lib.uconn.edu/ERIC_Proquest,,,,
UConn,Essential Evidence Plus,https://guides.lib.uconn.edu/EEP,,,,
UConn,Ethnographic Video Online,https://guides.lib.uconn.edu/EthnoVideo,,,,
UConn,Ethnomusicology Global Field Recordings,https://ezproxy.lib.uconn.edu/login?url=https://www.ethnomusicology.amdigital.co.uk/,,,,
UConn,European Views of the Americas: 1493 to 1750,https://guides.lib.uconn.edu/EuroViewsAmericas,,,,
UConn,Explore Census Data (Advanced Search),https://guides.lib.uconn.edu/censusdata,,,,
UConn,Explore Census Data (Simple Search),https://guides.lib.uconn.edu/CenStats,,,,
UConn,Factiva,https://guides.lib.uconn.edu/factiva,,,,
UConn,Federal Register (GovInfo),https://guides.lib.uconn.edu/fedregister,,,,
